Sl. No.,State/UT,Deaths during 2021 (Till 14th July 2021)
1,Andaman and Nicobar Islands,68
2,Andhra Pradesh,5937
3,Arunachal Pradesh,137
4,Assam,3844
5,Bihar,8218
6,Chandigarh,491
7,Chhattisgarh,10114
8,Dadra and Nagar Haveli and Daman and Diu,2
9,Delhi,14478
10,Goa,2362
11,Gujarat,5767
12,Haryana,6659
13,Himachal Pradesh,2560
14,Jammu and Kashmir,2477
15,Jharkhand,4092
16,Karnataka,23858
17,Kerala,11721
18,Ladakh,94
19,Madhya Pradesh,6901
20,Maharashtra,76635
21,Manipur,954
22,Meghalaya,776
23,Mizoram,105
24,Nagaland,433
25,Odisha,2857
26,Puducherry,1138
27,Punjab,10846
28,Rajasthan,6278
29,Sikkim,190
30,Tamil Nadu,21378
31,Telangana,2194
32,Tripura,333
33,Uttar Pradesh,14331
34,Uttarakhand,5839
35,West Bengal,8234
India,India,262670
